applicant_age,has_valid_license,vehicle_registered,vehicle_age,clean_driving_record,prior_insurance_coverage,resides_in_country,credit_score,vehicle_usage,minimum_liability_coverage,eligibility
43,False,False,27,False,False,False,346,rideshare,False,False
67,False,True,19,False,False,False,437,commercial,False,False
66,True,False,10,False,False,False,634,commercial,True,False
47,False,False,24,False,True,True,564,rideshare,False,False
49,True,True,26,True,False,False,739,personal,False,True
42,False,True,18,True,True,False,569,commercial,False,True
44,False,False,15,True,True,False,402,commercial,False,False
43,False,True,2,False,False,True,363,personal,False,False
51,False,False,0,True,False,False,481,commercial,False,True
51,True,True,0,False,True,False,644,commercial,True,False
69,False,True,6,True,False,True,324,personal,False,True
44,True,False,6,True,True,True,716,rideshare,False,False
76,False,False,25,True,False,True,499,rideshare,False,False
32,True,False,26,False,False,True,375,rideshare,True,True
56,False,False,25,True,True,True,740,commercial,True,True
75,True,False,5,False,True,True,674,rideshare,False,False
34,False,True,24,True,True,False,814,commercial,False,False
73,True,True,23,False,True,False,841,commercial,False,False
45,True,True,2,True,False,True,550,commercial,False,False
27,False,True,10,True,False,False,443,rideshare,False,False
18,False,True,27,True,False,False,480,personal,True,True
22,True,True,20,False,False,True,733,rideshare,False,True
80,True,False,19,False,False,True,305,rideshare,True,False
50,False,False,17,True,True,False,308,personal,False,False
26,False,True,2,False,False,False,526,personal,False,False
45,False,False,9,True,False,True,827,personal,True,True
44,True,False,11,True,True,True,485,personal,False,False
56,True,True,1,True,True,False,478,personal,False,False
37,True,True,11,True,False,True,551,commercial,False,True
67,True,True,14,False,False,False,415,personal,True,False
78,False,False,26,False,True,False,552,rideshare,True,False
81,False,True,20,True,True,False,347,commercial,False,True
34,False,False,0,False,False,True,399,commercial,False,False
66,False,True,17,False,False,True,431,commercial,True,False
64,False,True,5,True,False,False,752,personal,False,False
64,False,False,26,True,False,True,570,commercial,True,False
29,True,True,27,False,True,True,534,personal,False,False
40,True,True,20,False,False,False,466,rideshare,True,False
21,True,True,25,True,True,False,551,rideshare,True,True
79,True,True,8,True,False,True,753,rideshare,False,False
32,True,True,25,False,False,False,669,personal,False,False
28,True,True,26,False,True,True,469,rideshare,True,True
78,False,True,0,True,True,False,757,rideshare,True,False
23,False,True,9,True,True,False,449,commercial,False,True
70,False,False,19,True,False,False,412,commercial,True,True
40,False,True,9,True,False,False,743,commercial,False,False
30,False,False,3,True,True,True,762,personal,True,True
23,True,False,0,True,False,False,661,rideshare,True,False
83,False,False,10,False,False,True,422,personal,True,True
19,False,False,13,True,True,True,315,personal,True,False
80,True,True,19,True,True,True,657,rideshare,False,True
61,True,False,28,True,False,False,567,commercial,True,True
53,True,False,3,True,False,False,572,personal,False,False
41,False,False,8,False,False,False,305,rideshare,False,True
77,True,False,1,False,False,False,525,commercial,True,False
23,True,False,22,True,True,False,303,personal,True,True
69,False,False,4,True,False,True,338,commercial,True,False
38,False,False,22,True,True,True,307,personal,False,True
20,False,False,13,False,True,False,316,rideshare,True,False
53,True,True,3,False,False,False,501,rideshare,True,True
28,False,True,8,True,True,False,336,personal,False,True
66,False,False,20,False,False,False,437,personal,False,False
38,False,False,19,True,False,True,626,commercial,False,False
25,False,True,25,True,False,False,351,rideshare,True,True
79,False,False,9,True,False,True,315,commercial,True,True
69,True,False,29,False,True,True,638,commercial,True,False
50,False,False,24,False,False,False,448,rideshare,True,True
26,True,False,17,False,True,True,395,personal,False,False
55,True,True,23,True,True,False,790,rideshare,False,False
26,False,False,13,True,False,True,398,commercial,False,True
33,False,False,20,True,True,False,374,rideshare,True,False
66,False,True,12,True,True,True,658,commercial,False,True
46,True,False,0,False,False,False,629,commercial,False,False
30,True,True,21,True,True,False,533,commercial,False,True
40,True,False,18,True,False,True,727,rideshare,True,True
83,True,False,23,False,False,False,597,rideshare,False,False
47,True,True,3,True,False,True,630,commercial,True,False
63,False,True,1,False,True,True,530,commercial,True,False
25,False,True,24,False,False,True,492,commercial,False,False
22,False,False,25,True,False,True,310,personal,True,True
74,True,True,13,True,False,False,357,commercial,True,True
22,True,True,19,True,False,True,729,commercial,False,False
20,True,True,22,False,True,False,363,commercial,False,True
35,False,False,8,True,False,True,440,personal,True,False
49,False,True,11,True,True,True,477,rideshare,False,False
71,True,False,27,False,False,True,347,rideshare,False,True
46,False,False,6,False,False,False,510,commercial,True,False
55,False,True,28,True,True,False,605,commercial,False,True
68,True,True,6,True,False,False,679,rideshare,True,False
62,False,True,10,False,True,True,527,commercial,True,True
22,True,False,16,True,False,True,452,rideshare,False,True
37,True,False,12,False,False,False,331,commercial,True,False
42,False,True,19,True,False,False,397,personal,False,False
18,False,False,25,False,True,True,597,personal,True,False
73,True,False,20,False,False,False,508,personal,True,False
74,False,True,21,True,False,True,658,personal,True,True
41,True,True,24,False,True,False,407,personal,False,False
21,False,False,1,True,True,True,771,commercial,False,False
68,False,True,14,True,False,False,685,rideshare,True,False
66,True,False,26,False,True,True,591,commercial,True,True
