travel_class,passenger_type,carry_on_weight,num_carry_on_items,num_personal_items,carry_on_items,personal_items,checked_items,num_checked_items,eligible
Economy,infant,8.8,1,2,3.06kg (28x17x23),1.53kg (2x7x7) | 4.21kg (50x35x25),34.62kg (100x80x70),1,False
Economy,adult,27.5,4,2,1.59kg (36x24x3) | 1.03kg (6x5x11) | 4.75kg (26x14x1) | 14.65kg (60x45x30),1.72kg (30x29x3) | 3.76kg (50x35x25),,0,False
Business,child,4.9,0,1,,4.9kg (50x35x25),39.51kg (100x80x70),1,False
First,infant,17.31,1,2,11.96kg (60x45x30),1.08kg (5x2x1) | 4.27kg (50x35x25),,0,False
Economy,infant,3.56,0,1,,3.56kg (50x35x25),35.21kg (100x80x70),1,False
Economy,infant,11.38,2,1,3.59kg (26x39x14) | 4.18kg (55x29x8),3.61kg (50x35x25),38.71kg (100x80x70),1,False
First,infant,7.36,1,1,2.59kg (26x20x7),4.77kg (50x35x25),36.83kg (100x80x70),1,False
Business,adult,8.44,1,2,2.81kg (10x2x2),1.24kg (28x3x19) | 4.39kg (50x35x25),39.45kg (100x80x70),1,False
First,child,11.8,3,2,3.9kg (19x9x17) | 1.96kg (19x35x7) | 1.17kg (33x28x1),1.1kg (16x19x12) | 3.67kg (50x35x25),33.59kg (100x80x70),1,False
Business,child,14.02,1,2,9.06kg (60x45x30),0.82kg (22x18x7) | 4.14kg (50x35x25),,0,False
Economy,infant,5.82,2,0,4.73kg (28x19x22) | 1.09kg (22x14x7),,,0,True
First,adult,4.34,2,1,1.82kg (13x8x19) | 1.34kg (6x12x12),1.18kg (7x2x9),29.08kg (57x46x42) | 29.87kg (42x16x26) | 12.57kg (40x63x22),3,True
Business,child,11.03,3,0,4.38kg (55x20x14) | 2.15kg (41x7x9) | 4.5kg (49x13x13),,23.8kg (8x12x44),1,True
Business,adult,5.46,2,1,2.86kg (7x39x5) | 1.83kg (16x15x2),0.77kg (21x27x11),27.58kg (31x37x47) | 13.97kg (73x13x47),2,True
Economy,child,4.96,1,0,4.96kg (48x18x19),,,0,True
Business,child,8.0,2,1,2.08kg (43x22x4) | 3.85kg (48x23x20),2.07kg (6x26x10),27.93kg (21x4x58) | 29.94kg (60x58x24) | 28.12kg (60x9x17) | 30.68kg (60x5x15),4,True
First,infant,0.0,0,0,,,6.25kg (51x35x45) | 7.08kg (57x38x59),2,True
Economy,adult,3.87,1,0,3.87kg (46x8x2),,20.85kg (40x60x19) | 14.35kg (16x58x51) | 20.86kg (74x33x47),3,True
First,infant,7.28,2,1,3.07kg (19x38x12) | 1.36kg (53x24x9),2.85kg (39x9x8),,0,True
Economy,infant,4.14,1,1,3.53kg (42x13x23),0.61kg (31x15x1),,0,True
Economy,infant,5.96,2,0,3.5kg (20x25x1) | 2.46kg (26x22x14),,,0,True
Business,adult,2.31,0,1,,2.31kg (25x5x18),7.45kg (46x14x28) | 31.7kg (77x46x21),2,True
Business,adult,0.0,0,0,,,26.22kg (37x58x36) | 7.47kg (21x64x25) | 26.07kg (61x7x10),3,True
Economy,infant,5.13,1,1,3.16kg (17x6x17),1.97kg (14x7x10),,0,True
First,adult,3.56,1,0,3.56kg (21x30x8),,8.5kg (24x25x24),1,True
Economy,child,5.52,2,0,1.13kg (16x6x20) | 4.39kg (50x36x22),,,0,True
First,adult,4.73,1,1,2.89kg (3x20x1),1.84kg (29x15x18),,0,True
Business,adult,4.91,1,1,2.66kg (23x4x9),2.25kg (21x9x16),28.18kg (14x25x8) | 15.27kg (19x59x28) | 24.81kg (40x63x42) | 31.85kg (53x15x35),4,True
Economy,child,0.0,0,0,,,21.21kg (47x17x11),1,True
