travel_class,carry_on_items,personal_items,checked_items,passenger_type,compliance,reason,fees
Business,"[{'w': 1, 'dim': [47, 26, 19]}]","[{'w': 20, 'dim': [61, 70, 28]}]",[],adult,False,Exceeded carry-on weight limit.,0
First,[],"[{'w': 69, 'dim': [53, 53, 21]}, {'w': 0, 'dim': [89, 56, 39]}]",[],adult,False,Exceeded carry-on weight limit.,0
First,[],[],[],child,True,Checked luggage complies with the policy.,0
First,"[{'w': 17, 'dim': [41, 40, 11]}]",[],"[{'w': 12, 'dim': [52, 45, 49]}]",child,False,Exceeded carry-on weight limit.,0
First,"[{'w': 0, 'dim': [39, 34, 18]}]","[{'w': 0, 'dim': [56, 55, 40]}, {'w': 63, 'dim': [76, 56, 38]}]","[{'w': 14, 'dim': [72, 66, 44]}, {'w': 29, 'dim': [87, 62, 37]}]",adult,False,Exceeded carry-on weight limit.,0
Economy,"[{'w': 14, 'dim': [43, 29, 30]}]",[],[],adult,False,Exceeded carry-on weight limit.,0
First,[],[],[],adult,True,Checked luggage complies with the policy.,0
Economy,[],[],[],adult,True,Checked luggage complies with the policy.,0
Business,"[{'w': 16, 'dim': [27, 28, 13]}]","[{'w': 0, 'dim': [53, 57, 39]}, {'w': 6, 'dim': [67, 43, 50]}]",[],adult,False,Exceeded carry-on weight limit.,0
Business,"[{'w': 1, 'dim': [48, 23, 30]}, {'w': 0, 'dim': [29, 22, 21]}]","[{'w': 17, 'dim': [57, 32, 40]}]",[],adult,False,Exceeded carry-on weight limit.,0
First,[],[],[],adult,True,Checked luggage complies with the policy.,0
Economy,"[{'w': 0, 'dim': [27, 27, 26]}]","[{'w': 53, 'dim': [82, 63, 49]}]","[{'w': 0, 'dim': [53, 44, 22]}]",adult,False,Exceeded carry-on weight limit.,0
Business,"[{'w': 0, 'dim': [26, 39, 16]}, {'w': 0, 'dim': [27, 39, 27]}]",[],[],adult,False,Carry-on bag exceeds size limits.,0
Business,"[{'w': 25, 'dim': [36, 21, 26]}]",[],"[{'w': 26, 'dim': [98, 43, 39]}]",adult,False,Exceeded carry-on weight limit.,0
Economy,"[{'w': 0, 'dim': [29, 26, 12]}]","[{'w': 0, 'dim': [81, 60, 38]}, {'w': 4, 'dim': [77, 40, 27]}]",[],adult,False,Exceeded carry-on quantity allowance (including personal items).,0
Business,"[{'w': 0, 'dim': [25, 26, 11]}, {'w': 4, 'dim': [39, 28, 12]}]",[],"[{'w': 44, 'dim': [67, 80, 44]}]",child,False,Item with weight 44kg or size 191cm must be shipped as cargo.,175
Business,"[{'w': 0, 'dim': [49, 36, 17]}]",[],"[{'w': 0, 'dim': [54, 56, 38]}]",child,True,Checked luggage complies with the policy.,0
Business,[],[],"[{'w': 0, 'dim': [97, 60, 28]}]",child,True,Checked luggage complies with the policy.,100
First,"[{'w': 14, 'dim': [50, 25, 27]}, {'w': 0, 'dim': [32, 28, 14]}]","[{'w': 0, 'dim': [85, 69, 23]}, {'w': 0, 'dim': [78, 42, 43]}]",[],adult,False,Exceeded carry-on quantity allowance (including personal items).,0
Business,"[{'w': 6, 'dim': [47, 40, 19]}]","[{'w': 32, 'dim': [85, 40, 43]}]",[],child,False,Exceeded carry-on weight limit.,0
Business,[],"[{'w': 24, 'dim': [83, 68, 36]}]",[],adult,False,Exceeded carry-on weight limit.,0
Business,[],[],"[{'w': 5, 'dim': [67, 67, 39]}]",child,True,Checked luggage complies with the policy.,100
First,"[{'w': 8, 'dim': [26, 34, 24]}, {'w': 0, 'dim': [32, 20, 15]}]",[],"[{'w': 3, 'dim': [81, 58, 29]}]",adult,False,Carry-on bag exceeds size limits.,0
Economy,[],"[{'w': 32, 'dim': [81, 55, 23]}]","[{'w': 0, 'dim': [99, 70, 28]}, {'w': 23, 'dim': [92, 33, 46]}]",adult,False,Exceeded carry-on weight limit.,0
Economy,"[{'w': 0, 'dim': [34, 38, 14]}]",[],[],child,True,Checked luggage complies with the policy.,0
Business,"[{'w': 0, 'dim': [23, 22, 16]}]","[{'w': 0, 'dim': [75, 30, 33]}]","[{'w': 53, 'dim': [77, 75, 26]}, {'w': 29, 'dim': [93, 49, 34]}, {'w': 30, 'dim': [63, 62, 42]}]",adult,False,Item with weight 53kg or size 178cm must be shipped as cargo.,325
First,"[{'w': 0, 'dim': [45, 30, 30]}, {'w': 6, 'dim': [43, 30, 18]}]","[{'w': 36, 'dim': [88, 41, 47]}]",[],adult,False,Exceeded carry-on weight limit.,0
Economy,[],[],"[{'w': 18, 'dim': [75, 41, 42]}]",infant,True,Checked luggage complies with the policy.,75
Business,"[{'w': 0, 'dim': [25, 26, 27]}, {'w': 0, 'dim': [41, 26, 25]}]",[],[],adult,False,Carry-on bag exceeds size limits.,0
Business,[],"[{'w': 52, 'dim': [55, 31, 48]}, {'w': 49, 'dim': [79, 69, 22]}]",[],adult,False,Exceeded carry-on weight limit.,0
Economy,[],[],"[{'w': 0, 'dim': [66, 53, 45]}, {'w': 20, 'dim': [58, 35, 49]}]",adult,True,Checked luggage complies with the policy.,250
Business,"[{'w': 0, 'dim': [20, 35, 16]}]",[],"[{'w': 36, 'dim': [92, 70, 43]}]",adult,False,Item with weight 36kg or size 205cm must be shipped as cargo.,75
Economy,"[{'w': 0, 'dim': [49, 35, 16]}]","[{'w': 15, 'dim': [85, 37, 45]}]","[{'w': 0, 'dim': [87, 55, 26]}, {'w': 0, 'dim': [75, 59, 34]}]",adult,False,Exceeded carry-on weight limit.,0
Economy,"[{'w': 0, 'dim': [20, 39, 15]}]","[{'w': 30, 'dim': [77, 61, 44]}]","[{'w': 0, 'dim': [83, 52, 40]}]",child,False,Exceeded carry-on weight limit.,0
Business,"[{'w': 20, 'dim': [28, 28, 15]}]",[],[],adult,False,Exceeded carry-on weight limit.,0
Economy,[],[],[],adult,True,Checked luggage complies with the policy.,0
First,[],[],"[{'w': 18, 'dim': [51, 30, 29]}]",adult,True,Checked luggage complies with the policy.,0
Business,"[{'w': 0, 'dim': [42, 21, 23]}, {'w': 0, 'dim': [22, 29, 29]}]","[{'w': 27, 'dim': [63, 44, 42]}, {'w': 37, 'dim': [59, 62, 23]}]","[{'w': 4, 'dim': [81, 57, 35]}]",adult,False,Exceeded carry-on quantity allowance (including personal items).,0
Economy,[],[],"[{'w': 0, 'dim': [96, 80, 27]}, {'w': 13, 'dim': [78, 45, 47]}]",adult,True,Checked luggage complies with the policy.,350
First,[],[],[],adult,True,Checked luggage complies with the policy.,0
Economy,"[{'w': 3, 'dim': [31, 22, 27]}, {'w': 4, 'dim': [31, 21, 13]}]",[],"[{'w': 30, 'dim': [82, 56, 49]}]",adult,False,Carry-on bag exceeds size limits.,0
Business,"[{'w': 0, 'dim': [23, 22, 20]}, {'w': 0, 'dim': [38, 37, 14]}]",[],"[{'w': 49, 'dim': [57, 57, 20]}, {'w': 0, 'dim': [84, 37, 23]}, {'w': 11, 'dim': [59, 73, 34]}]",child,False,Item with weight 49kg or size 134cm must be shipped as cargo.,375
First,"[{'w': 10, 'dim': [49, 20, 20]}, {'w': 6, 'dim': [33, 37, 17]}]",[],[],adult,False,Exceeded carry-on weight limit.,0
Economy,[],"[{'w': 3, 'dim': [80, 50, 29]}]","[{'w': 0, 'dim': [77, 37, 26]}]",adult,True,Checked luggage complies with the policy.,0
First,"[{'w': 0, 'dim': [22, 35, 29]}, {'w': 9, 'dim': [33, 20, 25]}]",[],"[{'w': 0, 'dim': [93, 30, 22]}, {'w': 29, 'dim': [59, 41, 48]}]",adult,False,Carry-on bag exceeds size limits.,0
First,"[{'w': 0, 'dim': [38, 34, 30]}, {'w': 12, 'dim': [49, 36, 11]}]",[],[],adult,False,Carry-on bag exceeds size limits.,0
Business,"[{'w': 5, 'dim': [22, 34, 28]}, {'w': 0, 'dim': [39, 27, 12]}]","[{'w': 0, 'dim': [69, 59, 41]}, {'w': 0, 'dim': [51, 47, 26]}]",[],adult,False,Exceeded carry-on quantity allowance (including personal items).,0
First,"[{'w': 6, 'dim': [33, 36, 25]}]",[],[],adult,False,Carry-on bag exceeds size limits.,0
Economy,[],"[{'w': 0, 'dim': [68, 34, 37]}]","[{'w': 0, 'dim': [63, 53, 23]}, {'w': 0, 'dim': [92, 63, 47]}]",child,True,Checked luggage complies with the policy.,250
First,"[{'w': 11, 'dim': [20, 35, 25]}, {'w': 0, 'dim': [35, 30, 11]}]","[{'w': 44, 'dim': [64, 58, 26]}, {'w': 5, 'dim': [63, 64, 20]}]",[],adult,False,Exceeded carry-on quantity allowance (including personal items).,0
First,"[{'w': 11, 'dim': [30, 25, 30]}, {'w': 0, 'dim': [46, 38, 26]}]","[{'w': 0, 'dim': [60, 48, 26]}]",[],adult,False,Carry-on bag exceeds size limits.,0
First,"[{'w': 0, 'dim': [38, 38, 16]}]","[{'w': 0, 'dim': [77, 39, 24]}]","[{'w': 12, 'dim': [70, 30, 31]}, {'w': 0, 'dim': [51, 49, 23]}]",child,True,Checked luggage complies with the policy.,150
First,"[{'w': 0, 'dim': [21, 32, 21]}, {'w': 0, 'dim': [39, 28, 10]}]",[],"[{'w': 3, 'dim': [82, 56, 37]}]",adult,True,Checked luggage complies with the policy.,100
First,"[{'w': 0, 'dim': [26, 34, 25]}, {'w': 14, 'dim': [46, 32, 22]}]",[],[],infant,False,Exceeded carry-on weight limit.,0
Economy,"[{'w': 19, 'dim': [35, 34, 12]}, {'w': 5, 'dim': [45, 38, 16]}]","[{'w': 0, 'dim': [51, 66, 24]}, {'w': 29, 'dim': [53, 30, 36]}]",[],adult,False,Exceeded carry-on quantity allowance (including personal items).,0
Business,"[{'w': 0, 'dim': [38, 31, 11]}, {'w': 0, 'dim': [20, 23, 16]}]","[{'w': 40, 'dim': [73, 44, 47]}, {'w': 0, 'dim': [50, 65, 28]}]","[{'w': 9, 'dim': [89, 71, 32]}, {'w': 58, 'dim': [93, 35, 25]}, {'w': 26, 'dim': [74, 34, 27]}, {'w': 0, 'dim': [89, 76, 30]}]",adult,False,Exceeded carry-on quantity allowance (including personal items).,0
Business,"[{'w': 8, 'dim': [50, 32, 29]}]",[],[],child,False,Carry-on bag exceeds size limits.,0
First,[],[],[],adult,True,Checked luggage complies with the policy.,0
Business,"[{'w': 13, 'dim': [40, 28, 18]}]","[{'w': 0, 'dim': [55, 64, 34]}]","[{'w': 2, 'dim': [94, 77, 29]}]",adult,False,Exceeded carry-on weight limit.,0
Economy,[],[],[],adult,True,Checked luggage complies with the policy.,0
Economy,[],[],[],child,True,Checked luggage complies with the policy.,0
Economy,"[{'w': 15, 'dim': [45, 20, 11]}, {'w': 0, 'dim': [34, 35, 16]}]","[{'w': 0, 'dim': [53, 44, 26]}, {'w': 32, 'dim': [88, 70, 33]}]","[{'w': 20, 'dim': [64, 53, 20]}, {'w': 0, 'dim': [78, 34, 29]}]",adult,False,Exceeded carry-on quantity allowance (including personal items).,0
Business,"[{'w': 7, 'dim': [38, 24, 17]}, {'w': 18, 'dim': [46, 29, 25]}]","[{'w': 0, 'dim': [74, 46, 21]}, {'w': 0, 'dim': [74, 70, 27]}]",[],adult,False,Exceeded carry-on quantity allowance (including personal items).,0
First,[],[],[],adult,True,Checked luggage complies with the policy.,0
Business,"[{'w': 0, 'dim': [23, 38, 17]}]","[{'w': 1, 'dim': [89, 49, 24]}, {'w': 41, 'dim': [56, 40, 23]}]",[],child,False,Exceeded carry-on weight limit.,0
First,[],"[{'w': 0, 'dim': [89, 63, 47]}, {'w': 18, 'dim': [77, 64, 23]}]",[],adult,False,Exceeded carry-on weight limit.,0
First,[],[],[],adult,True,Checked luggage complies with the policy.,0
Business,"[{'w': 24, 'dim': [27, 30, 10]}]","[{'w': 29, 'dim': [53, 56, 36]}, {'w': 0, 'dim': [84, 39, 38]}]",[],adult,False,Exceeded carry-on weight limit.,0
Economy,[],[],[],adult,True,Checked luggage complies with the policy.,0
First,"[{'w': 17, 'dim': [28, 33, 14]}, {'w': 13, 'dim': [20, 32, 16]}]","[{'w': 30, 'dim': [63, 30, 20]}, {'w': 0, 'dim': [73, 63, 36]}]",[],infant,False,Exceeded carry-on quantity allowance (including personal items).,0
Economy,[],[],"[{'w': 0, 'dim': [71, 45, 33]}, {'w': 7, 'dim': [65, 79, 41]}, {'w': 16, 'dim': [61, 63, 43]}]",adult,True,Checked luggage complies with the policy.,500
Economy,"[{'w': 19, 'dim': [29, 27, 26]}]","[{'w': 0, 'dim': [79, 34, 33]}, {'w': 6, 'dim': [77, 44, 27]}]","[{'w': 12, 'dim': [57, 65, 33]}, {'w': 5, 'dim': [66, 48, 30]}, {'w': 43, 'dim': [81, 76, 36]}]",adult,False,Exceeded carry-on quantity allowance (including personal items).,0
First,[],"[{'w': 3, 'dim': [75, 38, 21]}, {'w': 0, 'dim': [72, 34, 32]}]","[{'w': 28, 'dim': [62, 63, 27]}]",adult,True,Checked luggage complies with the policy.,0
First,"[{'w': 13, 'dim': [44, 20, 24]}, {'w': 0, 'dim': [42, 23, 29]}]",[],[],adult,False,Exceeded carry-on weight limit.,0
Business,"[{'w': 9, 'dim': [27, 39, 11]}]",[],[],child,True,Checked luggage complies with the policy.,0
First,"[{'w': 16, 'dim': [46, 35, 20]}]","[{'w': 2, 'dim': [77, 48, 42]}]","[{'w': 33, 'dim': [62, 78, 25]}]",adult,False,Exceeded carry-on weight limit.,0
