travel_class,carry_on_items,personal_items,checked_items,passenger_type,compliance,reason,fees
Economy,"[{'w': 13, 'dim': [33, 23, 16]}, {'w': 1, 'dim': [32, 30, 12]}]",[],"[{'w': 0, 'dim': [58, 73, 48]}]",adult,False,Exceeded carry-on weight limit.,0
Economy,[],"[{'w': 0, 'dim': [59, 68, 26]}, {'w': 27, 'dim': [65, 39, 33]}]",[],adult,False,Exceeded carry-on weight limit.,0
Economy,"[{'w': 0, 'dim': [29, 26, 27]}, {'w': 16, 'dim': [35, 21, 14]}]","[{'w': 0, 'dim': [71, 53, 48]}]","[{'w': 35, 'dim': [60, 54, 38]}]",adult,False,Exceeded carry-on quantity allowance (including personal items).,0
Business,"[{'w': 2, 'dim': [48, 35, 17]}, {'w': 0, 'dim': [47, 24, 10]}]","[{'w': 16, 'dim': [90, 54, 40]}]","[{'w': 30, 'dim': [69, 67, 49]}, {'w': 44, 'dim': [83, 80, 38]}, {'w': 18, 'dim': [68, 35, 45]}, {'w': 0, 'dim': [60, 57, 30]}]",adult,False,Exceeded carry-on weight limit.,0
Economy,"[{'w': 9, 'dim': [30, 37, 13]}, {'w': 2, 'dim': [35, 39, 25]}]",[],[],adult,False,Exceeded carry-on weight limit.,0
Economy,"[{'w': 1, 'dim': [44, 32, 23]}]","[{'w': 0, 'dim': [80, 39, 42]}]",[],adult,True,Checked luggage complies with the policy.,0
Business,[],"[{'w': 22, 'dim': [87, 45, 29]}]",[],child,False,Exceeded carry-on weight limit.,0
Economy,"[{'w': 1, 'dim': [25, 34, 28]}, {'w': 0, 'dim': [35, 31, 14]}]","[{'w': 12, 'dim': [78, 58, 30]}]",[],child,False,Exceeded carry-on quantity allowance (including personal items).,0
First,[],[],[],adult,True,Checked luggage complies with the policy.,0
First,[],"[{'w': 0, 'dim': [54, 57, 21]}]",[],child,True,Checked luggage complies with the policy.,0
Business,"[{'w': 8, 'dim': [48, 33, 27]}, {'w': 0, 'dim': [40, 31, 30]}]",[],[],adult,False,Carry-on bag exceeds size limits.,0
Business,"[{'w': 1, 'dim': [45, 32, 24]}, {'w': 2, 'dim': [50, 34, 10]}]",[],"[{'w': 20, 'dim': [71, 80, 22]}]",adult,False,Carry-on bag exceeds size limits.,0
First,[],"[{'w': 26, 'dim': [69, 34, 46]}]","[{'w': 0, 'dim': [72, 43, 20]}]",adult,False,Exceeded carry-on weight limit.,0
Business,[],"[{'w': 0, 'dim': [68, 30, 27]}, {'w': 22, 'dim': [80, 54, 22]}]",[],adult,False,Exceeded carry-on weight limit.,0
Economy,"[{'w': 4, 'dim': [30, 38, 29]}]",[],[],adult,False,Carry-on bag exceeds size limits.,0
First,[],[],[],adult,True,Checked luggage complies with the policy.,0
Business,[],[],[],adult,True,Checked luggage complies with the policy.,0
Business,"[{'w': 0, 'dim': [48, 20, 28]}]","[{'w': 4, 'dim': [51, 38, 20]}]","[{'w': 28, 'dim': [87, 40, 45]}]",adult,False,Carry-on bag exceeds size limits.,0
Business,"[{'w': 0, 'dim': [33, 29, 27]}, {'w': 20, 'dim': [48, 23, 30]}]",[],"[{'w': 11, 'dim': [80, 49, 37]}]",adult,False,Exceeded carry-on weight limit.,0
Economy,"[{'w': 8, 'dim': [23, 31, 17]}]","[{'w': 27, 'dim': [87, 59, 50]}]","[{'w': 0, 'dim': [91, 70, 24]}]",infant,False,Exceeded carry-on weight limit.,0
Business,"[{'w': 16, 'dim': [21, 30, 11]}, {'w': 1, 'dim': [28, 35, 13]}]","[{'w': 0, 'dim': [59, 56, 28]}, {'w': 0, 'dim': [84, 39, 41]}]",[],adult,False,Exceeded carry-on quantity allowance (including personal items).,0
Economy,"[{'w': 0, 'dim': [39, 35, 29]}]","[{'w': 5, 'dim': [86, 41, 34]}, {'w': 37, 'dim': [72, 38, 43]}]","[{'w': 0, 'dim': [57, 56, 24]}]",child,False,Exceeded carry-on quantity allowance (including personal items).,0
Business,"[{'w': 9, 'dim': [22, 35, 14]}]","[{'w': 36, 'dim': [77, 67, 25]}]",[],adult,False,Exceeded carry-on weight limit.,0
First,"[{'w': 0, 'dim': [37, 32, 12]}]",[],"[{'w': 28, 'dim': [56, 50, 31]}]",infant,True,Checked luggage complies with the policy.,75
Economy,[],"[{'w': 28, 'dim': [64, 48, 50]}]","[{'w': 13, 'dim': [85, 76, 25]}, {'w': 36, 'dim': [64, 73, 50]}, {'w': 3, 'dim': [69, 55, 44]}]",adult,False,Exceeded carry-on weight limit.,0
First,[],"[{'w': 0, 'dim': [54, 69, 41]}, {'w': 0, 'dim': [54, 33, 38]}]",[],adult,True,Checked luggage complies with the policy.,0
Business,"[{'w': 2, 'dim': [35, 33, 20]}]","[{'w': 0, 'dim': [77, 59, 28]}, {'w': 59, 'dim': [70, 56, 25]}]","[{'w': 0, 'dim': [67, 69, 26]}]",child,False,Exceeded carry-on weight limit.,0
Business,"[{'w': 0, 'dim': [38, 40, 15]}]","[{'w': 10, 'dim': [73, 68, 48]}, {'w': 0, 'dim': [77, 64, 42]}]",[],adult,True,Checked luggage complies with the policy.,0
First,"[{'w': 1, 'dim': [34, 21, 23]}]","[{'w': 47, 'dim': [80, 40, 44]}]",[],infant,False,Exceeded carry-on weight limit.,0
