travel_class,carry_on_items,personal_items,checked_items,passenger_type,compliance,reason,fees
Business,"[{'w': 0, 'dim': [21, 25, 29]}]","[{'w': 0, 'dim': [86, 33, 25]}, {'w': 27, 'dim': [70, 58, 49]}]",[],adult,False,Exceeded carry-on weight limit.,0
Business,"[{'w': 0, 'dim': [29, 33, 21]}, {'w': 7, 'dim': [22, 29, 27]}]",[],[],adult,False,Carry-on bag exceeds size limits.,0
Business,[],"[{'w': 14, 'dim': [82, 31, 25]}, {'w': 14, 'dim': [71, 30, 46]}]",[],adult,False,Exceeded carry-on weight limit.,0
First,"[{'w': 5, 'dim': [45, 31, 25]}]","[{'w': 16, 'dim': [74, 61, 40]}, {'w': 14, 'dim': [57, 43, 29]}]",[],adult,False,Exceeded carry-on weight limit.,0
Business,[],"[{'w': 11, 'dim': [57, 58, 42]}]","[{'w': 0, 'dim': [92, 42, 50]}, {'w': 25, 'dim': [60, 47, 30]}]",adult,True,Checked luggage complies with the policy.,100
First,"[{'w': 0, 'dim': [21, 37, 17]}]","[{'w': 21, 'dim': [65, 43, 47]}]",[],adult,False,Exceeded carry-on weight limit.,0
Economy,"[{'w': 4, 'dim': [32, 40, 27]}]","[{'w': 27, 'dim': [54, 58, 21]}]","[{'w': 0, 'dim': [74, 69, 41]}]",adult,False,Exceeded carry-on weight limit.,0
First,"[{'w': 5, 'dim': [48, 25, 19]}]",[],"[{'w': 2, 'dim': [84, 45, 42]}]",infant,True,Checked luggage complies with the policy.,100
Economy,"[{'w': 0, 'dim': [24, 26, 27]}]",[],"[{'w': 36, 'dim': [50, 56, 36]}]",adult,False,Carry-on bag exceeds size limits.,0
First,"[{'w': 0, 'dim': [35, 20, 28]}, {'w': 0, 'dim': [31, 31, 22]}]",[],"[{'w': 11, 'dim': [100, 69, 33]}]",adult,False,Carry-on bag exceeds size limits.,0
Economy,"[{'w': 0, 'dim': [20, 26, 27]}, {'w': 3, 'dim': [41, 39, 16]}]","[{'w': 0, 'dim': [63, 33, 24]}]",[],adult,False,Exceeded carry-on quantity allowance (including personal items).,0
Business,"[{'w': 0, 'dim': [40, 35, 10]}, {'w': 0, 'dim': [31, 24, 18]}]",[],[],adult,True,Checked luggage complies with the policy.,0
Business,"[{'w': 18, 'dim': [42, 40, 16]}]","[{'w': 0, 'dim': [76, 39, 22]}]","[{'w': 34, 'dim': [83, 35, 24]}]",adult,False,Exceeded carry-on weight limit.,0
Economy,[],[],"[{'w': 5, 'dim': [100, 56, 24]}]",adult,True,Checked luggage complies with the policy.,100
Economy,"[{'w': 12, 'dim': [25, 25, 25]}, {'w': 0, 'dim': [43, 33, 15]}]",[],[],adult,False,Exceeded carry-on weight limit.,0
Business,"[{'w': 7, 'dim': [43, 39, 30]}, {'w': 22, 'dim': [38, 29, 26]}]","[{'w': 0, 'dim': [70, 67, 20]}]","[{'w': 55, 'dim': [60, 71, 45]}]",adult,False,Exceeded carry-on weight limit.,0
Business,"[{'w': 7, 'dim': [29, 35, 16]}]",[],"[{'w': 9, 'dim': [82, 59, 30]}]",adult,True,Checked luggage complies with the policy.,100
Business,[],"[{'w': 0, 'dim': [77, 52, 38]}]",[],adult,True,Checked luggage complies with the policy.,0
Business,"[{'w': 0, 'dim': [34, 33, 16]}, {'w': 0, 'dim': [43, 38, 30]}]","[{'w': 2, 'dim': [80, 47, 29]}]",[],adult,False,Carry-on bag exceeds size limits.,0
Economy,"[{'w': 11, 'dim': [46, 40, 27]}, {'w': 13, 'dim': [31, 27, 10]}]","[{'w': 6, 'dim': [74, 35, 22]}]",[],adult,False,Exceeded carry-on quantity allowance (including personal items).,0
First,"[{'w': 2, 'dim': [43, 35, 28]}]",[],[],adult,False,Carry-on bag exceeds size limits.,0
First,"[{'w': 0, 'dim': [44, 27, 18]}]",[],"[{'w': 31, 'dim': [59, 40, 34]}, {'w': 40, 'dim': [67, 49, 41]}]",adult,False,Item with weight 40kg or size 157cm must be shipped as cargo.,75
Business,[],"[{'w': 38, 'dim': [69, 45, 39]}]",[],adult,False,Exceeded carry-on weight limit.,0
First,[],"[{'w': 0, 'dim': [56, 64, 38]}, {'w': 21, 'dim': [86, 70, 22]}]",[],adult,False,Exceeded carry-on weight limit.,0
Economy,[],"[{'w': 16, 'dim': [60, 30, 46]}, {'w': 0, 'dim': [90, 46, 24]}]","[{'w': 28, 'dim': [90, 73, 30]}]",adult,False,Exceeded carry-on weight limit.,0
Economy,"[{'w': 23, 'dim': [46, 38, 29]}]",[],"[{'w': 44, 'dim': [87, 78, 23]}]",adult,False,Exceeded carry-on weight limit.,0
First,"[{'w': 0, 'dim': [45, 36, 26]}]",[],"[{'w': 22, 'dim': [54, 48, 23]}]",adult,False,Carry-on bag exceeds size limits.,0
Business,[],[],[],child,True,Checked luggage complies with the policy.,0
First,[],"[{'w': 27, 'dim': [87, 52, 29]}]",[],adult,False,Exceeded carry-on weight limit.,0
Economy,"[{'w': 8, 'dim': [23, 40, 17]}]",[],"[{'w': 0, 'dim': [71, 38, 47]}]",adult,False,Exceeded carry-on weight limit.,0
